State,District,FPS ID,Total e-Transaction,Aadhaar Authenticated,Other Mode Authenticated,Non-Authenticated,Transaction PHH Regular,Transaction PHH Intra State,Transaction PHH Inter State,Transaction PHH Total,Transaction AAY Regular,Transaction AAY Intra State,Transaction AAY Inter State,Transaction AAY Total,Ration Card PHH Regular,Ration Card PHH Intra State,Ration Card PHH Inter State,Ration Card PHH Total,Ration Card AAY Regular,Ration Card AAY Intra State,Ration Card AAY Inter State,Ration Card AAY Total,Wheat Regular,Wheat Intra State,Wheat Inter State,Wheat Total,Fortified Rice Regular,Fortified Rice Intra State,Fortified Rice Inter State,Fortified Rice Total,Rice Regular,Rice Intra State,Rice Inter State,Rice Total,Coarse Grains Total Regular,Coarse Grains Total Intra State,Coarse Grains Total Inter State,Coarse Grains Total Total,Barley Regular,Barley Intra State,Barley Inter State,Barley Total,Bajra Regular,Bajra Intra State,Bajra Inter State,Bajra Total,Maize Regular,Maize Intra State,Maize Inter State,Maize Total,Jowar Regular,Jowar Intra State,Jowar Inter State,Jowar Total,Ragi Regular,Ragi Intra State,Ragi Inter State,Ragi Total,Kodo Regular,Kodo Intra State,Kodo Inter State,Kodo Total,Total Commodity Regular,Total Commodity Intra State,Total Commodity Inter State,Total Commodity Total,Month-Year
GOA,NORTH GOA,158500100001,132,132,0,0,132,0,0,132,0,0,0,0,132,0,0,132,0,0,0,0,0,0,0,0.0,2.81,0.0,0.0,2.81,"2,810",0,0,"2,810.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"2,810",0,0,"2,810.0",4-2026
GOA,NORTH GOA,158500100002,220,220,0,0,125,66,2,193,25,2,0,27,125,66,2,193,25,2,0,27,0,0,0,0.0,3.08,1.27,0.03,4.38,"3,080","1,270",30,"4,380.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"3,080","1,270",30,"4,380.0",4-2026
GOA,NORTH GOA,158500100005,331,331,0,0,279,2,22,303,19,1,8,28,279,2,22,303,19,1,8,28,0,0,0,0.0,5.53,0.065,0.74,6.335,"5,530",65,740,"6,335.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"5,530",65,740,"6,335.0",4-2026
GOA,NORTH GOA,158500100006,31,31,0,0,30,0,0,30,1,0,0,1,30,0,0,30,1,0,0,1,0,0,0,0.0,0.56,0.0,0.0,0.56,560,0,0,560.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,560,0,0,560.0,4-2026
GOA,NORTH GOA,158500100007,383,383,0,0,361,2,20,383,0,0,0,0,361,2,20,383,0,0,0,0,0,0,0,0.0,6.5,0.01,0.35,6.86,"6,500",10,350,"6,860.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"6,500",10,350,"6,860.0",4-2026
GOA,NORTH GOA,158500100008,136,136,0,0,129,0,0,129,7,0,0,7,129,0,0,129,7,0,0,7,0,0,0,0.0,2.385,0.0,0.0,2.385,"2,385",0,0,"2,385.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"2,385",0,0,"2,385.0",4-2026
GOA,NORTH GOA,158500100009,489,489,0,0,444,5,13,462,25,0,2,27,444,5,13,462,25,0,2,27,0,0,0,0.0,9.815,0.075,0.295,10.185,"9,815",75,295,"10,185.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"9,815",75,295,"10,185.0",4-2026
GOA,NORTH GOA,158500100011,525,525,0,0,490,0,20,510,10,0,5,15,490,0,20,510,10,0,5,15,0,0,0,0.0,9.91,0.0,0.55,10.46,"9,910",0,550,"10,460.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"9,910",0,550,"10,460.0",4-2026
GOA,NORTH GOA,158500100012,92,92,0,0,77,10,0,87,4,1,0,5,77,10,0,87,4,1,0,5,0,0,0,0.0,1.665,0.175,0.0,1.84,"1,665",175,0,"1,840.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"1,665",175,0,"1,840.0",4-2026
GOA,NORTH GOA,158500100013,101,101,0,0,58,0,6,64,37,0,0,37,58,0,6,64,37,0,0,37,0,0,0,0.0,2.37,0.0,0.13,2.5,"2,370",0,130,"2,500.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"2,370",0,130,"2,500.0",4-2026
